DEPARTAMENTO,DOSIS1,DOSIS2,POBLACION,INDICE1,INDICE2
AMAZONAS,,,426806,,
ANCASH,,,1180638,,
APURIMAC,,,430736,,
AREQUIPA,,,1497438,,
AYACUCHO,,,668213,,
CAJAMARCA,,,1453711,,
CALLAO,31571,16179,1129854,2794.25,1431.95
CUSCO,,,1357075,,
HUANCAVELICA,,,365317,,
HUANUCO,,,760267,,
ICA,,,975182,,
JUNIN,,,1361467,,
LA LIBERTAD,,,2016771,,
LAMBAYEQUE,,,1310785,,
LIMA,276995,148936,10628470,2606.16,1401.29
LORETO,,,1027559,,
MADRE DE DIOS,,,173811,,
MOQUEGUA,,,192740,,
PASCO,,,271904,,
PIURA,,,2047954,,
PUNO,,,1237997,,
SAN MARTIN,,,899648,,
TACNA,,,370974,,
TUMBES,,,251521,,
UCAYALI,,,589110,,
