DEPARTAMENTO,DOSIS1,DOSIS2,POBLACION,INDICE1,INDICE2
AMAZONAS,,,426806,,
ANCASH,,,1180638,,
APURIMAC,,,430736,,
AREQUIPA,50947,4135,1497438,3402.28,276.14
AYACUCHO,,,668213,,
CAJAMARCA,35256,10828,1453711,2425.24,744.85
CALLAO,27914,18688,1129854,2470.58,1654.02
CUSCO,,,1357075,,
HUANCAVELICA,,,365317,,
HUANUCO,,,760267,,
ICA,1545,48801,975182,158.43,5004.3
JUNIN,47222,31494,1361467,3468.46,2313.24
LA LIBERTAD,,,2016771,,
LAMBAYEQUE,,,1310785,,
LIMA,275885,173258,10628470,2595.72,1630.13
LORETO,,,1027559,,
MADRE DE DIOS,,,173811,,
MOQUEGUA,,,192740,,
PASCO,3206,3914,271904,1179.09,1439.48
PIURA,55229,15458,2047954,2696.79,754.8
PUNO,,,1237997,,
SAN MARTIN,,,899648,,
TACNA,,,370974,,
TUMBES,3204,10071,251521,1273.85,4004.04
UCAYALI,,,589110,,
