DEPARTAMENTO,DOSIS1,DOSIS2,POBLACION,INDICE1,INDICE2
AMAZONAS,3274,9427,426806,767.09,2208.73
ANCASH,2808,2203,1180638,237.84,186.59
APURIMAC,1641,1189,430736,380.98,276.04
AREQUIPA,26184,2691,1497438,1748.59,179.71
AYACUCHO,8389,2966,668213,1255.44,443.87
CAJAMARCA,23814,3530,1453711,1638.15,242.83
CALLAO,18793,4370,1129854,1663.31,386.78
CUSCO,13929,17112,1357075,1026.4,1260.95
HUANCAVELICA,1984,2659,365317,543.09,727.86
HUANUCO,7349,5894,760267,966.63,775.25
ICA,5892,1097,975182,604.19,112.49
JUNIN,,,1361467,,
LA LIBERTAD,,,2016771,,
LAMBAYEQUE,,,1310785,,
LIMA,152416,59821,10628470,1434.04,562.84
LORETO,,,1027559,,
MADRE DE DIOS,478,140,173811,275.01,80.55
MOQUEGUA,718,9099,192740,372.52,4720.87
PASCO,,,271904,,
PIURA,3093,39572,2047954,151.03,1932.27
PUNO,14920,1346,1237997,1205.17,108.72
SAN MARTIN,,,899648,,
TACNA,9313,4672,370974,2510.42,1259.39
TUMBES,,,251521,,
UCAYALI,,,589110,,
